location,property_type,bedrooms,bathrooms,house_size,floor,total_floors,furnished,parking,balcony,age,monthly_rent
Uttara,Apartment,4,4,1446,3,6,No,Yes,Yes,18,46500
Uttara,Apartment,2,2,1193,1,9,No,No,Yes,11,31500
Mirpur,Apartment,3,2,1299,2,8,Yes,Yes,Yes,0,47000
Banani,Apartment,3,2,950,6,10,No,Yes,No,7,48000
Mirpur,Apartment,2,2,1366,6,7,Yes,Yes,Yes,10,43000
Mirpur,Apartment,3,3,1638,3,16,No,Yes,Yes,10,36000
Mirpur,Apartment,4,3,1461,6,10,No,No,Yes,1,36500
Mirpur,Apartment,3,3,1218,3,4,No,Yes,Yes,4,34000
Bashundhara,Duplex,4,5,3697,1,5,No,No,Yes,4,135000
Bashundhara,Apartment,2,2,1329,7,12,No,Yes,Yes,30,39500
Uttara,Duplex,4,4,2216,1,5,No,Yes,Yes,1,75500
Mohammadpur,House,4,4,1808,5,6,No,Yes,Yes,5,54500
Mirpur,Apartment,3,3,1575,7,7,No,No,Yes,0,35000
Bashundhara,Apartment,3,2,1024,1,10,No,Yes,Yes,7,37500
Uttara,Apartment,2,1,773,6,9,No,No,Yes,0,25500
Bashundhara,Apartment,2,2,996,14,14,No,No,Yes,0,32500
Khilgaon,Apartment,3,2,883,3,5,No,Yes,Yes,8,23000
Gulshan,Duplex,4,4,3083,2,7,No,No,Yes,16,155000
Badda,House,3,3,1542,6,6,No,Yes,Yes,7,39000
Dhanmondi,Apartment,3,2,1343,3,6,No,Yes,Yes,0,58000
Dhanmondi,Studio,1,1,439,3,5,No,Yes,Yes,8,22000
Banani,Studio,1,1,555,7,8,No,No,Yes,4,27500
Mirpur,House,4,4,1764,10,12,Yes,Yes,Yes,10,58500
Uttara,Apartment,2,2,1015,7,8,No,No,Yes,1,31000
Bashundhara,Apartment,3,2,1299,2,4,No,Yes,Yes,5,41500
Dhanmondi,Apartment,3,2,1039,1,5,No,Yes,Yes,5,40000
Mohakhali,Apartment,2,2,1099,4,8,No,Yes,No,2,33000
Mirpur,Apartment,3,3,1485,3,5,Yes,Yes,Yes,7,50500
Dhanmondi,Apartment,3,2,1069,3,6,No,No,Yes,2,43500
Mirpur,Studio,1,1,561,1,9,Yes,No,No,6,19000
Bashundhara,House,3,2,2063,1,5,No,Yes,Yes,1,62500
Khilgaon,Apartment,3,3,1173,8,8,No,No,Yes,4,26500
Uttara,Apartment,3,2,1190,4,8,No,No,Yes,7,37500
Mirpur,Studio,1,1,301,4,4,Yes,Yes,No,11,16500
Mohakhali,Apartment,3,2,1272,3,4,No,Yes,No,3,39000
Banani,Apartment,3,3,1855,3,6,No,No,Yes,8,86500
Uttara,Apartment,2,2,915,3,5,No,No,Yes,4,31000
Mohakhali,Apartment,4,4,1637,2,9,Yes,Yes,No,4,62500
Gulshan,Apartment,1,1,724,8,9,No,No,Yes,4,34000
Mohammadpur,House,3,2,1476,2,6,No,Yes,Yes,3,44500
Uttara,Duplex,5,5,2411,4,4,No,Yes,Yes,1,89500
Bashundhara,Apartment,3,4,1410,1,6,No,Yes,Yes,5,49500
Banani,Apartment,3,3,1553,2,6,No,No,Yes,2,74500
Mohakhali,Duplex,6,7,2198,1,7,No,No,Yes,2,70000
Mohakhali,Apartment,3,3,1686,4,4,Yes,Yes,No,1,67500
Gulshan,Apartment,2,3,1224,2,8,No,No,No,0,58000
Mirpur,Studio,1,1,368,5,9,No,Yes,No,7,12500
Dhanmondi,Apartment,3,2,1175,4,8,No,Yes,Yes,1,52500
Mohakhali,Apartment,2,3,1091,5,5,No,No,Yes,9,30000
Uttara,Apartment,1,1,746,4,6,No,No,Yes,0,22500
Badda,House,3,2,1658,1,6,No,No,Yes,1,36000
Mirpur,House,3,3,1543,8,8,No,Yes,No,1,36500
Mohakhali,Apartment,3,2,1336,5,7,No,Yes,Yes,8,44500
Dhanmondi,Apartment,2,2,1127,3,4,No,No,Yes,0,39500
Uttara,House,4,4,1527,3,5,No,No,No,3,51000
Uttara,Apartment,3,2,1065,1,9,Yes,No,Yes,3,46000
Gulshan,Apartment,3,4,1497,4,4,No,Yes,Yes,4,79500
Mohammadpur,Apartment,3,3,854,1,5,Yes,No,No,16,29500
Uttara,Studio,1,1,343,6,7,No,No,No,4,12500
Banani,Studio,1,1,552,2,4,Yes,No,Yes,5,36500
Uttara,Apartment,3,2,1318,6,6,No,No,Yes,4,42500
Khilgaon,Apartment,3,3,1491,3,14,No,No,Yes,0,33500
Mohakhali,Apartment,3,2,1138,1,4,No,No,Yes,2,32000
Dhanmondi,Apartment,3,2,1357,3,8,No,Yes,Yes,1,59000
Bashundhara,Apartment,3,2,1297,5,14,Yes,No,Yes,0,52000
Dhanmondi,Apartment,3,2,1040,7,9,No,Yes,No,3,41500
Mirpur,Apartment,3,3,1306,1,5,Yes,Yes,Yes,1,47000
Dhanmondi,Apartment,4,3,1491,2,12,No,Yes,Yes,3,65500
Uttara,Duplex,6,6,2703,3,6,Yes,Yes,Yes,0,122500
Dhanmondi,Apartment,3,2,1118,2,8,No,No,No,3,43000
Bashundhara,Apartment,4,3,1547,2,4,No,Yes,Yes,3,60000
Mirpur,House,5,5,997,1,4,No,No,Yes,4,29000
Banani,Apartment,3,3,976,6,6,No,No,Yes,9,46500
Dhanmondi,Apartment,3,3,858,6,9,No,No,No,0,34500
Mirpur,Apartment,2,1,683,3,6,No,No,Yes,7,16500
Mirpur,Studio,1,1,504,1,12,No,No,No,5,11000
Gulshan,Apartment,3,3,1737,3,6,No,Yes,Yes,15,83500
Banani,Apartment,3,2,1176,3,5,No,Yes,Yes,13,54500
Mohakhali,Apartment,3,2,1199,2,6,No,Yes,Yes,3,40000
Dhanmondi,Apartment,3,2,1321,4,5,No,No,Yes,1,49000
Badda,Apartment,3,2,1314,2,5,No,Yes,Yes,2,32500
Mohammadpur,Studio,1,1,487,6,12,No,No,No,30,10000
Dhanmondi,Apartment,4,4,1524,3,4,No,No,No,4,61500
Bashundhara,Apartment,3,3,1427,1,4,No,Yes,Yes,3,50000
Bashundhara,Duplex,5,5,1844,1,14,No,No,Yes,10,68000
Mirpur,Apartment,3,2,1098,3,4,No,No,Yes,3,27500
Bashundhara,Apartment,3,3,1498,8,10,No,No,Yes,2,51500
Dhanmondi,Apartment,4,3,1939,2,8,No,Yes,Yes,1,78000
Dhanmondi,Apartment,3,3,1544,1,9,No,Yes,Yes,30,48500
Khilgaon,Apartment,4,3,1411,1,8,Yes,Yes,No,6,41500
Mohammadpur,Studio,1,1,358,6,9,No,Yes,Yes,6,15000
Mohammadpur,Apartment,2,2,1394,1,4,No,Yes,Yes,7,35000
Banani,Apartment,3,3,1459,3,7,No,Yes,Yes,1,74500
Mirpur,Apartment,3,2,958,1,6,No,No,No,1,23500
Badda,Apartment,3,4,1407,12,12,No,Yes,Yes,0,35500
Mohammadpur,Apartment,3,2,1360,5,7,Yes,Yes,Yes,1,59500
Badda,House,4,4,2071,7,8,Yes,Yes,Yes,3,62000
Bashundhara,Apartment,1,1,645,1,7,No,No,Yes,1,19500
Mirpur,Apartment,3,2,1238,3,6,No,Yes,Yes,3,33500
Khilgaon,Studio,1,1,500,9,10,Yes,Yes,No,2,19000
Uttara,House,3,3,1191,3,12,No,Yes,No,0,46500
Gulshan,Duplex,6,6,2716,6,6,No,Yes,Yes,0,160000
Mirpur,Apartment,3,2,1222,5,5,Yes,Yes,Yes,23,37500
Mohakhali,Apartment,2,2,1030,2,7,Yes,Yes,Yes,3,47000
Gulshan,Apartment,2,2,1200,1,4,No,Yes,Yes,9,61000
Mohakhali,Duplex,5,5,3091,4,5,Yes,No,Yes,1,119000
Dhanmondi,House,3,2,1623,5,10,No,Yes,No,7,56500
Khilgaon,Apartment,3,4,1505,5,5,No,Yes,Yes,10,30500
Mohakhali,Apartment,3,2,1391,1,10,No,Yes,Yes,7,38500
Gulshan,Duplex,5,5,2427,6,6,No,Yes,Yes,7,152500
Mohakhali,Apartment,2,3,1151,7,14,No,No,Yes,13,30500
Bashundhara,Apartment,2,2,1178,1,7,No,No,Yes,3,38000
Bashundhara,Apartment,2,3,1395,3,8,No,Yes,Yes,21,39500
Gulshan,Apartment,2,2,1206,3,7,No,Yes,Yes,1,62000
Dhanmondi,Apartment,2,2,818,3,5,No,No,Yes,0,31500
Banani,Apartment,2,2,1275,4,5,No,No,Yes,14,58000
Gulshan,Studio,1,1,489,5,9,No,No,Yes,0,29500
Banani,Apartment,3,4,1761,2,5,No,Yes,Yes,0,93500
Mohakhali,Apartment,4,3,1456,1,5,Yes,No,Yes,1,57500
Mohammadpur,Apartment,3,2,962,5,9,No,Yes,Yes,7,30500
Mohammadpur,Apartment,3,3,1505,14,14,No,No,Yes,0,40000
Mirpur,Apartment,2,1,750,6,8,No,No,Yes,9,19000
Uttara,Apartment,3,3,897,1,4,No,No,Yes,18,26500
Bashundhara,Apartment,3,2,1192,2,9,No,No,Yes,7,42500
Badda,Duplex,5,6,2653,1,9,Yes,Yes,Yes,4,93000
Bashundhara,Apartment,3,2,1352,4,7,No,Yes,Yes,6,48000
Dhanmondi,Apartment,4,4,1500,1,7,Yes,No,Yes,2,64000
Mirpur,Apartment,2,2,1191,9,14,No,Yes,No,0,27500
Badda,Apartment,3,2,1037,3,5,No,No,Yes,9,24500
Bashundhara,Apartment,3,3,1059,2,4,No,No,Yes,7,36000
Banani,House,5,4,900,2,9,Yes,No,Yes,30,58000
Banani,Apartment,3,2,1363,7,8,Yes,No,Yes,1,73000
Uttara,Apartment,2,1,790,5,16,No,No,Yes,3,25000
Dhanmondi,Apartment,2,1,646,6,7,No,Yes,Yes,9,29000
Mirpur,Apartment,4,4,1498,1,5,No,Yes,Yes,18,36500
Mohakhali,Apartment,2,3,1216,6,7,No,Yes,No,4,41500
Banani,Apartment,4,3,1562,1,6,No,Yes,Yes,3,71000
Mohammadpur,Apartment,3,2,1214,2,6,No,No,Yes,6,29000
Mohammadpur,Duplex,5,6,3065,2,5,Yes,Yes,Yes,4,116500
Mohammadpur,Apartment,3,2,973,6,8,Yes,Yes,No,11,36500
Banani,Studio,1,1,450,4,4,No,No,No,6,24500
Mirpur,Apartment,3,3,1373,1,9,No,Yes,Yes,5,35500
Mohammadpur,Apartment,2,2,1184,4,6,No,Yes,No,6,33000
Mirpur,Apartment,2,2,1214,2,4,No,No,Yes,2,28000
Bashundhara,Apartment,3,3,922,2,8,No,No,Yes,2,33500
Gulshan,Apartment,3,3,1776,1,5,No,Yes,No,4,81000
Dhanmondi,House,3,3,1451,7,8,No,No,Yes,10,52000
Mohammadpur,Apartment,3,2,878,2,5,No,No,Yes,18,24500
Badda,Apartment,3,2,1343,4,6,No,Yes,Yes,4,33000
Mohammadpur,Apartment,3,2,1352,7,8,No,Yes,Yes,0,38500
Banani,Apartment,4,3,1437,2,6,No,No,No,7,69000
Mohakhali,Apartment,4,3,1787,3,6,No,Yes,No,19,46000
Mirpur,Apartment,2,3,1180,1,5,Yes,Yes,Yes,13,35500
Mirpur,House,5,5,1371,1,7,Yes,No,Yes,8,48000
Dhanmondi,Apartment,3,2,1260,5,7,No,No,Yes,12,45500
Mirpur,Apartment,3,3,1434,1,8,Yes,Yes,No,11,40000
Jatrabari,Apartment,2,2,1388,2,4,No,No,Yes,12,24000
Khilgaon,Apartment,3,3,1437,8,8,No,No,No,20,25500
Mirpur,Duplex,5,5,1988,2,7,No,Yes,Yes,21,51000
Banani,Apartment,3,3,1577,7,8,Yes,No,Yes,0,88000
Uttara,Apartment,3,3,1406,4,4,No,Yes,Yes,4,46500
Dhanmondi,Apartment,3,3,1604,5,8,No,Yes,Yes,0,67000
Jatrabari,Apartment,3,2,1072,10,12,Yes,Yes,No,6,35000
Mohammadpur,Apartment,3,3,833,1,7,No,No,Yes,1,25000
Mirpur,House,3,3,1537,1,6,Yes,No,Yes,18,38000
Dhanmondi,Apartment,2,2,1292,5,7,No,No,Yes,4,44500
Bashundhara,Apartment,3,2,1262,3,12,No,No,Yes,8,42000
Gulshan,Apartment,2,2,959,3,7,No,No,Yes,8,42000
Dhanmondi,Apartment,3,2,1279,3,6,No,Yes,Yes,1,52500
Mohammadpur,Duplex,4,5,2146,1,4,Yes,No,Yes,1,78500
Uttara,Apartment,3,2,1027,4,9,No,Yes,Yes,2,38500
Mirpur,Apartment,3,3,1261,7,7,No,Yes,Yes,3,34500
Mirpur,House,3,3,1940,9,10,No,Yes,No,12,43000
Uttara,Apartment,2,2,1059,2,6,No,No,Yes,2,31500
Mirpur,Apartment,3,3,1588,4,4,Yes,No,No,6,47500
Dhanmondi,Apartment,3,4,1834,2,8,No,Yes,Yes,6,72000
Dhanmondi,House,3,3,1471,1,8,No,No,Yes,2,58000
Mohakhali,House,3,2,1076,4,7,Yes,Yes,No,4,45500
Uttara,Apartment,2,2,1342,7,10,No,Yes,Yes,5,41000
Gulshan,Apartment,2,3,1145,4,5,No,Yes,Yes,13,62000
Bashundhara,Apartment,4,4,1418,9,10,Yes,No,Yes,3,64000
Dhanmondi,Apartment,2,2,1038,7,7,No,Yes,Yes,5,39000
Mohakhali,Apartment,3,2,1212,4,6,Yes,No,Yes,6,49500
Banani,Apartment,3,4,1499,5,6,No,Yes,Yes,7,71000
Mohammadpur,Studio,1,1,482,6,9,Yes,Yes,No,6,23000
Dhanmondi,Apartment,3,3,1757,9,9,No,Yes,Yes,2,68000
Mirpur,Apartment,2,3,871,7,8,No,No,No,8,20500
Mirpur,Apartment,2,3,1208,5,10,No,No,Yes,2,28500
Uttara,Apartment,3,2,835,6,8,No,Yes,Yes,3,34500
Bashundhara,Apartment,3,4,1527,2,4,No,No,Yes,1,49500
Dhanmondi,Apartment,2,2,857,8,8,No,No,Yes,3,30000
Dhanmondi,Apartment,3,2,970,2,7,Yes,No,Yes,0,51500
Mohammadpur,Apartment,3,3,1242,7,7,No,Yes,Yes,2,39500
Uttara,Apartment,2,2,805,5,10,Yes,Yes,Yes,15,37000
Mirpur,Apartment,3,3,1433,5,10,No,No,Yes,4,36500
Mirpur,Apartment,4,3,1494,3,5,No,Yes,Yes,5,38000
Uttara,House,4,4,1877,6,6,Yes,No,Yes,21,62500
Mirpur,Apartment,4,3,1499,1,6,No,Yes,Yes,18,33000
Mirpur,Apartment,3,3,1622,4,4,No,Yes,Yes,1,39500
Uttara,Apartment,3,3,1316,1,6,No,Yes,Yes,3,41000
Banani,Apartment,3,2,1131,1,12,No,Yes,Yes,6,52500
Uttara,Apartment,3,3,923,5,8,No,No,Yes,1,36000
Dhanmondi,Apartment,2,2,1085,1,7,No,No,Yes,7,38000
Uttara,Apartment,3,3,1417,6,6,No,Yes,Yes,10,50000
Dhanmondi,Apartment,4,3,1810,1,5,No,No,Yes,9,62000
Banani,Apartment,3,2,1041,2,10,Yes,No,Yes,14,59500
Khilgaon,Apartment,3,3,1526,3,7,No,Yes,Yes,0,38500
Gulshan,Studio,1,1,501,1,12,No,No,Yes,2,26000
Mirpur,Apartment,3,3,1856,1,6,No,Yes,Yes,8,40000
Bashundhara,Apartment,3,2,868,12,14,Yes,No,Yes,5,37000
Dhanmondi,Apartment,3,3,1135,4,5,No,Yes,Yes,2,51000
Gulshan,Apartment,3,3,1281,1,4,Yes,Yes,Yes,2,74000
Khilgaon,Apartment,3,3,1798,9,10,No,No,Yes,8,34500
Mirpur,Apartment,3,2,1027,5,7,No,No,No,0,26000
Khilgaon,Duplex,5,5,2714,5,6,No,Yes,Yes,11,61500
Bashundhara,Apartment,3,4,1668,11,12,No,Yes,Yes,8,60000
Gulshan,Apartment,2,2,1202,9,9,No,Yes,Yes,2,55500
Bashundhara,Apartment,3,2,1007,1,7,Yes,Yes,Yes,1,52000
Mirpur,Apartment,3,2,1126,2,6,Yes,Yes,Yes,4,42500
Banani,Apartment,4,4,1713,3,5,No,No,No,1,86000
Mohammadpur,Apartment,2,1,632,9,9,No,No,Yes,0,18500
Mirpur,Apartment,4,3,1684,1,7,No,No,Yes,14,36000
Dhanmondi,Duplex,4,4,2622,5,8,No,Yes,Yes,10,96000
Uttara,Apartment,2,2,1114,10,10,No,No,Yes,0,34000
Uttara,Duplex,5,6,2170,2,7,Yes,No,Yes,4,95500
Mohammadpur,Duplex,6,6,1800,1,4,Yes,No,Yes,1,72500
Bashundhara,Apartment,3,2,929,4,4,No,No,No,3,33500
Uttara,Apartment,3,3,1650,14,14,Yes,Yes,Yes,12,59000
Dhanmondi,Apartment,3,3,803,4,5,No,Yes,Yes,11,35000
Khilgaon,Apartment,2,2,830,4,7,No,No,Yes,4,19000
Bashundhara,Apartment,2,1,712,1,6,Yes,Yes,No,25,23500
Gulshan,Apartment,3,2,1366,3,8,No,Yes,Yes,2,70500
Bashundhara,Apartment,3,3,1530,3,4,No,Yes,Yes,6,57500
Mirpur,Apartment,3,2,1366,1,10,No,No,Yes,0,31500
Dhanmondi,Apartment,4,3,1689,1,8,Yes,No,Yes,5,73000
Uttara,Apartment,3,2,1398,5,6,No,No,Yes,3,42000
Bashundhara,Apartment,3,2,932,4,7,No,No,Yes,0,36000
Mohammadpur,Apartment,3,3,1020,3,7,Yes,Yes,Yes,0,43000
Mohakhali,Apartment,3,3,1308,5,6,No,Yes,Yes,13,39500
Bashundhara,Apartment,2,3,926,6,6,No,No,No,14,29500
Uttara,Apartment,4,3,1530,6,9,No,Yes,Yes,5,51500
Mirpur,Duplex,4,4,2455,1,4,No,Yes,Yes,3,57000
Mirpur,Apartment,3,2,1230,6,6,No,Yes,Yes,5,33500
Bashundhara,Duplex,5,6,2354,6,6,No,No,Yes,3,93500
Uttara,Apartment,3,2,1276,3,9,No,No,Yes,6,38500
Khilgaon,Studio,1,1,504,2,9,No,Yes,Yes,0,16500
Dhanmondi,Apartment,3,2,1347,1,6,No,No,Yes,3,49000
Mirpur,Studio,1,1,323,7,8,No,No,No,6,8500
Bashundhara,Apartment,2,1,797,8,9,Yes,No,Yes,2,35000
Dhanmondi,Apartment,3,4,1500,8,14,Yes,No,Yes,0,69000
Banani,Apartment,3,2,1335,1,4,No,Yes,Yes,2,63500
Dhanmondi,House,5,5,1219,1,16,No,Yes,No,0,59500
Jatrabari,Apartment,3,3,900,8,8,No,No,Yes,9,19500
Mohakhali,Apartment,3,2,1030,13,14,No,Yes,No,1,35000
Mirpur,Apartment,3,4,1437,1,7,No,No,Yes,10,32000
Mohammadpur,Duplex,6,6,2778,5,6,Yes,No,Yes,4,105000
Dhanmondi,Apartment,2,2,985,1,9,Yes,Yes,Yes,7,45500
Banani,House,3,3,1860,1,4,No,No,Yes,2,87000
Mirpur,Apartment,3,2,1222,13,14,No,No,Yes,1,31000
Mohakhali,Apartment,2,2,1198,5,8,Yes,No,Yes,1,52000
Mohakhali,Studio,1,1,383,4,6,No,Yes,No,0,18000
Mohakhali,Apartment,2,2,1020,1,4,No,Yes,Yes,3,34000
Gulshan,Studio,1,1,471,8,12,Yes,No,No,15,28500
Gulshan,Apartment,3,2,1101,2,6,Yes,No,No,14,67000
Dhanmondi,Apartment,2,3,1254,1,7,No,Yes,Yes,0,46000
Badda,Apartment,4,3,1595,1,8,No,No,Yes,1,35000
Mohakhali,Apartment,4,3,1659,1,6,No,Yes,Yes,3,49000
Mohammadpur,Apartment,4,3,1410,4,8,No,Yes,No,17,40500
Bashundhara,Apartment,3,3,1598,3,8,Yes,No,Yes,6,73000
Dhanmondi,Apartment,3,2,1135,12,16,No,Yes,Yes,0,50500
Dhanmondi,Apartment,2,2,1152,11,12,No,Yes,Yes,2,43500
Uttara,House,5,5,1997,4,4,Yes,No,Yes,0,86000
Bashundhara,Apartment,3,2,1168,5,5,No,No,Yes,4,43000
Banani,Apartment,4,3,1524,5,6,No,No,Yes,3,71000
Dhanmondi,Apartment,2,1,636,4,6,No,Yes,Yes,10,29500
Gulshan,Studio,1,1,457,4,8,Yes,No,No,3,33000
Mirpur,Apartment,3,4,2039,5,12,No,Yes,Yes,4,51000
Mohammadpur,Apartment,4,3,1559,10,10,No,No,Yes,8,39000
Bashundhara,Apartment,3,2,865,3,8,No,Yes,Yes,0,34000
Dhanmondi,Apartment,4,3,1730,4,12,No,Yes,Yes,5,64500
Gulshan,Apartment,3,2,928,5,5,No,No,Yes,3,53000
Uttara,Apartment,3,3,898,4,6,Yes,Yes,No,7,41000
Mirpur,House,3,2,1767,5,5,No,No,No,16,39000
Dhanmondi,Apartment,2,2,880,3,8,No,Yes,Yes,3,34500
Mirpur,House,4,4,2100,2,6,No,No,Yes,5,50000
Dhanmondi,Apartment,3,3,1510,4,5,No,Yes,No,7,60000
Gulshan,House,3,3,2325,7,7,No,No,Yes,1,108500
Dhanmondi,Apartment,3,2,853,7,9,No,No,Yes,6,37500
Dhanmondi,Apartment,2,3,1165,1,14,No,No,Yes,13,38500
Banani,House,3,2,1382,1,5,No,No,Yes,9,63500
Uttara,Apartment,3,2,1165,11,12,No,Yes,Yes,0,37500
Dhanmondi,House,3,2,1367,1,6,Yes,No,Yes,5,58000
Uttara,Apartment,2,2,953,1,8,No,No,Yes,1,28500
Dhanmondi,Apartment,2,2,1301,4,6,No,Yes,No,10,44000
Jatrabari,Apartment,3,3,819,6,7,No,No,Yes,3,21000
Dhanmondi,House,4,4,1366,1,5,Yes,Yes,Yes,0,66500
Dhanmondi,House,4,4,1607,6,9,Yes,Yes,Yes,19,71000
Bashundhara,Apartment,3,2,1309,3,4,No,No,No,2,42500
Dhanmondi,Apartment,2,3,1226,6,10,No,No,Yes,19,41500
Banani,Apartment,2,1,502,3,8,No,No,Yes,6,25500
Dhanmondi,Apartment,4,3,1400,3,4,Yes,Yes,Yes,0,73000
Jatrabari,Apartment,3,2,1068,1,10,No,Yes,Yes,1,23500
Uttara,House,4,4,2203,5,12,No,No,Yes,1,75500
Banani,Apartment,2,3,945,1,7,No,Yes,Yes,7,44000
Jatrabari,House,3,3,1425,6,14,No,Yes,Yes,2,32000
Bashundhara,Apartment,2,3,1157,3,4,No,No,Yes,0,39000
Uttara,Apartment,3,3,868,12,12,No,Yes,Yes,1,33500
Jatrabari,Apartment,3,2,1131,4,7,Yes,No,Yes,0,34500
Mirpur,Apartment,3,3,1665,1,7,No,Yes,Yes,0,41500
Banani,Apartment,2,3,1039,5,9,No,No,Yes,0,50500
Dhanmondi,House,4,4,1730,9,9,No,Yes,No,0,72000
Mohakhali,House,5,5,1774,12,12,No,No,No,8,57000
Mohammadpur,Apartment,2,2,1319,8,9,No,No,Yes,3,32000
Mirpur,Apartment,3,2,1109,2,7,No,Yes,No,1,32000
Banani,Apartment,3,2,1356,3,9,No,Yes,Yes,0,69500
Banani,House,3,3,1472,4,6,No,Yes,Yes,0,77000
Bashundhara,Apartment,3,3,1443,7,7,No,Yes,Yes,1,55500
Mirpur,Duplex,6,6,2376,3,7,No,No,Yes,20,53000
Mirpur,Apartment,3,2,1236,6,6,No,Yes,Yes,4,32000
Bashundhara,Apartment,2,1,500,3,6,Yes,Yes,No,8,27000
Mohakhali,House,3,3,1681,4,5,No,No,Yes,0,51500
Mohammadpur,Apartment,3,2,1193,4,8,No,Yes,Yes,1,33500
Mirpur,Apartment,3,3,1365,7,9,No,No,Yes,7,30000
Badda,Duplex,6,6,2079,5,8,No,Yes,Yes,9,59500
Jatrabari,Apartment,3,3,1459,4,6,Yes,No,Yes,7,35000
Mirpur,Apartment,3,2,1041,4,6,No,No,Yes,0,28000
Bashundhara,Apartment,2,2,1343,4,5,No,Yes,No,0,46000
Gulshan,Duplex,6,7,3251,6,8,Yes,Yes,Yes,14,208000
Dhanmondi,Apartment,4,3,1593,2,14,No,Yes,Yes,1,68500
Bashundhara,House,3,3,1337,5,6,No,No,Yes,0,50000
Bashundhara,House,3,2,912,8,10,No,Yes,Yes,11,35500
Mohakhali,Apartment,3,2,1351,11,14,No,Yes,No,3,43500
Mirpur,Apartment,4,3,1621,8,8,No,Yes,No,0,40500
Bashundhara,Apartment,2,2,818,5,6,Yes,No,No,0,37000
Dhanmondi,House,3,3,1507,5,9,No,Yes,No,0,64000
Mirpur,Apartment,2,2,827,8,9,No,No,Yes,6,18500
Dhanmondi,Apartment,3,3,1135,4,5,No,Yes,Yes,6,49500
Banani,House,4,3,1681,2,6,No,No,Yes,6,83500
Dhanmondi,Apartment,2,1,713,7,7,No,No,Yes,2,25500
Uttara,Apartment,3,3,1139,5,6,Yes,Yes,Yes,1,61000
Mohakhali,Apartment,3,3,1707,6,6,Yes,No,No,16,52000
Khilgaon,Apartment,2,2,1344,7,7,Yes,Yes,Yes,2,38000
Banani,Apartment,2,3,854,6,8,No,No,Yes,6,42500
Uttara,Apartment,3,2,1067,2,4,No,Yes,Yes,3,39000
Mohakhali,Duplex,4,4,2194,3,7,No,No,Yes,1,79500
Mohakhali,Apartment,4,4,1440,4,4,No,Yes,Yes,2,52500
Mirpur,Apartment,4,3,1497,4,6,No,Yes,Yes,9,38000
Bashundhara,Studio,1,1,437,5,5,No,No,No,3,14500
Uttara,Apartment,3,3,1503,2,5,No,Yes,Yes,9,57500
Mohammadpur,Apartment,3,2,1044,4,5,No,Yes,Yes,5,30500
Gulshan,Apartment,3,3,1280,4,4,No,Yes,Yes,21,56000
Dhanmondi,House,5,5,1284,7,7,No,No,Yes,0,53500
Mirpur,Duplex,5,5,2201,1,7,Yes,No,Yes,4,77000
Uttara,Apartment,3,3,1677,5,5,No,Yes,Yes,0,58000
Mohakhali,Apartment,3,2,1249,6,8,Yes,Yes,Yes,12,49500
Uttara,Apartment,2,2,894,6,8,No,No,Yes,2,27500
Dhanmondi,House,3,3,1383,4,4,No,No,Yes,6,57500
Uttara,Apartment,2,2,1182,5,5,Yes,Yes,Yes,5,52500
Bashundhara,House,3,3,1712,5,7,No,No,Yes,7,60500
Dhanmondi,Apartment,2,3,1235,1,5,No,No,No,14,40500
Bashundhara,Apartment,1,1,620,4,5,Yes,Yes,Yes,2,29500
Mohakhali,Apartment,3,3,1151,3,8,No,No,Yes,0,39500
Banani,Apartment,3,2,1125,1,5,Yes,No,Yes,10,58500
Banani,Apartment,2,3,852,2,5,Yes,Yes,Yes,0,57000
Mirpur,Apartment,3,3,891,5,6,No,No,Yes,16,24500
Dhanmondi,Apartment,3,3,1439,2,6,No,Yes,Yes,2,57000
Mirpur,Apartment,4,4,1619,6,7,No,Yes,Yes,6,45500
Mohakhali,Apartment,3,2,976,5,6,No,No,Yes,6,31000
Bashundhara,Apartment,3,3,919,3,6,No,No,Yes,5,37000
Gulshan,Studio,1,1,407,2,4,No,No,No,3,24500
Mohakhali,Apartment,3,3,1402,1,6,No,No,Yes,0,38000
Mirpur,Apartment,2,1,722,4,5,No,No,Yes,2,19000
Mohakhali,Apartment,3,4,1594,8,8,No,No,Yes,6,43500
Jatrabari,Apartment,2,1,648,5,7,No,No,Yes,4,13000
Mohammadpur,Apartment,3,3,1177,3,5,No,No,No,8,31000
Uttara,Apartment,2,1,704,2,5,No,No,Yes,0,24000
Mirpur,House,3,2,1667,5,8,No,No,Yes,2,43500
Banani,Apartment,2,2,843,1,7,No,No,Yes,10,40500
Bashundhara,House,3,3,1170,1,12,No,Yes,Yes,1,43500
Mirpur,House,3,3,1957,5,6,No,No,Yes,13,47000
Uttara,Studio,1,1,592,1,14,No,No,No,6,16500
Dhanmondi,Apartment,3,2,1163,2,7,No,Yes,No,7,49000
Uttara,Apartment,2,1,712,2,7,No,No,Yes,2,22000
Mirpur,Apartment,3,2,868,1,6,No,No,No,11,18500
Banani,Apartment,3,2,900,3,6,No,No,Yes,16,39500
Gulshan,Apartment,2,2,1062,13,16,Yes,No,Yes,10,58000
Badda,Apartment,4,3,1415,3,7,No,Yes,Yes,7,40000
Badda,Apartment,3,2,1299,6,7,No,No,Yes,11,26000
Banani,Apartment,3,4,1461,6,6,No,Yes,No,0,84000
Gulshan,House,4,4,1439,2,6,No,No,Yes,7,79000
